date,product_id,product_name,customer_id,customer_name,region,quantity_sold,unit_price,discount_pct,net_price,revenue,cogs,gross_margin,margin_pct,returns_qty,is_festive,quarter,month,year
2022-01-01,P001,Tirupati Cottonseed Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,1507,132.0,0.06,124.08,186988.56,168784.0,18204.56,9.74,9,1,Q1,1,2022
2022-01-01,P002,Tirupati Groundnut Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,466,168.0,0.06,157.92,73590.72,67570.0,6020.72,8.18,2,1,Q1,1,2022
2022-01-01,P003,Tirupati Sunflower Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,551,142.0,0.05,134.9,74329.9,71079.0,3250.9,4.37,1,1,Q1,1,2022
2022-01-01,P006,Tirupati Rice Bran Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,330,138.0,0.06,129.72,42807.6,39270.0,3537.6,8.26,2,1,Q1,1,2022
2022-01-01,P001,Tirupati Cottonseed Oil 1L,C002,West India Distributors Mumbai,Maharashtra,2090,132.0,0.125,115.5,241395.0,234080.0,7315.0,3.03,4,1,Q1,1,2022
2022-01-01,P002,Tirupati Groundnut Oil 1L,C002,West India Distributors Mumbai,Maharashtra,644,168.0,0.125,147.0,94668.0,93380.0,1288.0,1.36,5,1,Q1,1,2022
2022-01-01,P003,Tirupati Sunflower Oil 1L,C002,West India Distributors Mumbai,Maharashtra,796,142.0,0.115,125.67,100033.32,102684.0,-2650.68,-2.65,2,1,Q1,1,2022
2022-01-01,P006,Tirupati Rice Bran Oil 1L,C002,West India Distributors Mumbai,Maharashtra,464,138.0,0.125,120.75,56028.0,55216.0,812.0,1.45,1,1,Q1,1,2022
2022-01-01,P001,Tirupati Cottonseed Oil 1L,C003,FreshMart Vadodara,Gujarat,757,132.0,0.04,126.72,95927.04,84784.0,11143.04,11.62,3,1,Q1,1,2022
2022-01-01,P002,Tirupati Groundnut Oil 1L,C003,FreshMart Vadodara,Gujarat,221,168.0,0.04,161.28,35642.88,32045.0,3597.88,10.09,1,1,Q1,1,2022
2022-01-01,P003,Tirupati Sunflower Oil 1L,C003,FreshMart Vadodara,Gujarat,316,142.0,0.03,137.74,43525.84,40764.0,2761.84,6.35,1,1,Q1,1,2022
2022-01-01,P006,Tirupati Rice Bran Oil 1L,C003,FreshMart Vadodara,Gujarat,196,138.0,0.04,132.48,25966.08,23324.0,2642.08,10.18,1,1,Q1,1,2022
2022-01-01,P001,Tirupati Cottonseed Oil 1L,C004,Pune Retail Mart,Maharashtra,840,132.0,0.04,126.72,106444.8,94080.0,12364.8,11.62,3,1,Q1,1,2022
2022-01-01,P002,Tirupati Groundnut Oil 1L,C004,Pune Retail Mart,Maharashtra,243,168.0,0.04,161.28,39191.04,35235.0,3956.04,10.09,1,1,Q1,1,2022
2022-01-01,P003,Tirupati Sunflower Oil 1L,C004,Pune Retail Mart,Maharashtra,302,142.0,0.03,137.74,41597.48,38958.0,2639.48,6.35,2,1,Q1,1,2022
2022-01-01,P006,Tirupati Rice Bran Oil 1L,C004,Pune Retail Mart,Maharashtra,181,138.0,0.04,132.48,23978.88,21539.0,2439.88,10.18,1,1,Q1,1,2022
2022-01-01,P004,Industrial Castor Oil 50L,C005,Global Oils Export LLP,Export,56,4850.0,0.05,4607.5,258020.0,230720.0,27300.0,10.58,0,1,Q1,1,2022
2022-01-01,P004,Industrial Castor Oil 50L,C006,Kandla Export Foods LLC,Export,48,4850.0,0.05,4607.5,221160.0,197760.0,23400.0,10.58,0,1,Q1,1,2022
2022-01-01,P004,Industrial Castor Oil 50L,C007,Industrial Chemicals Pvt Ltd,Gujarat,27,4850.0,0.04,4656.0,125712.0,111240.0,14472.0,11.51,0,1,Q1,1,2022
2022-01-01,P005,De-Oiled Cake 25Kg,C008,Rajkot Agro Feed Traders,Gujarat,156,640.0,0.17,531.2,82867.2,82680.0,187.2,0.23,0,1,Q1,1,2022
2022-02-01,P001,Tirupati Cottonseed Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,1375,132.0,0.05,125.4,172425.0,154000.0,18425.0,10.69,5,0,Q1,2,2022
2022-02-01,P002,Tirupati Groundnut Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,384,168.0,0.05,159.6,61286.4,55680.0,5606.4,9.15,2,0,Q1,2,2022
2022-02-01,P003,Tirupati Sunflower Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,454,142.0,0.05,134.9,61244.6,58566.0,2678.6,4.37,3,0,Q1,2,2022
2022-02-01,P006,Tirupati Rice Bran Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,304,138.0,0.05,131.1,39854.4,36176.0,3678.4,9.23,2,0,Q1,2,2022
2022-02-01,P001,Tirupati Cottonseed Oil 1L,C002,West India Distributors Mumbai,Maharashtra,1767,132.0,0.115,116.82,206420.94,197904.0,8516.94,4.13,4,0,Q1,2,2022
2022-02-01,P002,Tirupati Groundnut Oil 1L,C002,West India Distributors Mumbai,Maharashtra,553,168.0,0.115,148.68,82220.04,80185.0,2035.04,2.48,2,0,Q1,2,2022
2022-02-01,P003,Tirupati Sunflower Oil 1L,C002,West India Distributors Mumbai,Maharashtra,729,142.0,0.115,125.67,91613.43,94041.0,-2427.57,-2.65,3,0,Q1,2,2022
2022-02-01,P006,Tirupati Rice Bran Oil 1L,C002,West India Distributors Mumbai,Maharashtra,391,138.0,0.115,122.13,47752.83,46529.0,1223.83,2.56,1,0,Q1,2,2022
2022-02-01,P001,Tirupati Cottonseed Oil 1L,C003,FreshMart Vadodara,Gujarat,644,132.0,0.03,128.04,82457.76,72128.0,10329.76,12.53,2,0,Q1,2,2022
2022-02-01,P002,Tirupati Groundnut Oil 1L,C003,FreshMart Vadodara,Gujarat,245,168.0,0.03,162.96,39925.2,35525.0,4400.2,11.02,1,0,Q1,2,2022
2022-02-01,P003,Tirupati Sunflower Oil 1L,C003,FreshMart Vadodara,Gujarat,311,142.0,0.03,137.74,42837.14,40119.0,2718.14,6.35,1,0,Q1,2,2022
2022-02-01,P006,Tirupati Rice Bran Oil 1L,C003,FreshMart Vadodara,Gujarat,166,138.0,0.03,133.86,22220.76,19754.0,2466.76,11.1,1,0,Q1,2,2022
2022-02-01,P001,Tirupati Cottonseed Oil 1L,C004,Pune Retail Mart,Maharashtra,648,132.0,0.03,128.04,82969.92,72576.0,10393.92,12.53,1,0,Q1,2,2022
2022-02-01,P002,Tirupati Groundnut Oil 1L,C004,Pune Retail Mart,Maharashtra,229,168.0,0.03,162.96,37317.84,33205.0,4112.84,11.02,1,0,Q1,2,2022
2022-02-01,P003,Tirupati Sunflower Oil 1L,C004,Pune Retail Mart,Maharashtra,300,142.0,0.03,137.74,41322.0,38700.0,2622.0,6.35,2,0,Q1,2,2022
2022-02-01,P006,Tirupati Rice Bran Oil 1L,C004,Pune Retail Mart,Maharashtra,170,138.0,0.03,133.86,22756.2,20230.0,2526.2,11.1,0,0,Q1,2,2022
2022-02-01,P004,Industrial Castor Oil 50L,C005,Global Oils Export LLP,Export,49,4850.0,0.05,4607.5,225767.5,201880.0,23887.5,10.58,0,0,Q1,2,2022
2022-02-01,P004,Industrial Castor Oil 50L,C006,Kandla Export Foods LLC,Export,43,4850.0,0.05,4607.5,198122.5,177160.0,20962.5,10.58,0,0,Q1,2,2022
2022-02-01,P004,Industrial Castor Oil 50L,C007,Industrial Chemicals Pvt Ltd,Gujarat,23,4850.0,0.04,4656.0,107088.0,94760.0,12328.0,11.51,0,0,Q1,2,2022
2022-02-01,P005,De-Oiled Cake 25Kg,C008,Rajkot Agro Feed Traders,Gujarat,148,640.0,0.17,531.2,78617.6,78440.0,177.6,0.23,0,0,Q1,2,2022
2022-03-01,P001,Tirupati Cottonseed Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,1374,132.0,0.05,125.4,172299.6,153888.0,18411.6,10.69,9,0,Q1,3,2022
2022-03-01,P002,Tirupati Groundnut Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,460,168.0,0.05,159.6,73416.0,66700.0,6716.0,9.15,2,0,Q1,3,2022
2022-03-01,P003,Tirupati Sunflower Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,513,142.0,0.05,134.9,69203.7,66177.0,3026.7,4.37,3,0,Q1,3,2022
2022-03-01,P006,Tirupati Rice Bran Oil 1L,C001,Shree Traders Ahmedabad,Gujarat,286,138.0,0.05,131.1,37494.6,34034.0,3460.6,9.23,1,0,Q1,3,2022
